struct_idx	county	phillimore	cobs_1086	cobs_1066	cattle_1086	cattle_1066	cows_1086	cows_1066	pigs_1086	pigs_1066	sheep_1086	sheep_1066	goats_1086	goats_1066	beehives_1086	beehives_1066	wild_mares_1086	wild_mares_1066	other_1086	other_code_1086	other_1066	other_code_1066
5398	DEV	"35,13"			7						40		
5399	DEV	"35,14"			6				4		50		20
5400	DEV	"35,15"									80		
5401	DEV	"35,16"			6								
5405	DEV	"35,20"			3						28		
5406	DEV	"35,21"			8						56		4							
5407	DEV	"35,22"			2						27									
5408	DEV	"35,23"					1				5		10							
5420	DEV	"36,3"			5						27		10							
5421	DEV	"36,4"							5		37		5							
5424	DEV	"36,7"			5						20									
5425	DEV	"36,8"																	1	animals
5427	DEV	"36,10"									20									
5432	DEV	"36,15"			5				5		30									
5433	DEV	"36,16"			4				4		20									
5434	DEV	"36,17"			2				5		15		12							
5435	DEV	"36,18"			20								18							
5437	DEV	"36,20"			9				2		71									
5440	DEV	"36,23"			5				10		20									
5441	DEV	"36,24"			3				2		20		25							
5442	DEV	"36,25"			6						30									
5443	DEV	"36,26"			12				6		80		
5446	DEV	"37,1"			7				27		130		23
5448	DEV	"38,1"			5						100		
5475	DEV	"40,2"			6				5		30		8
5477	DEV	"40,4"			4				6		42		
5478	DEV	"40,5"			7						24		18
5479	DEV	"40,6"	1		17				2				
5480	DEV	"40,7"			4						24		11
5483	DEV	"41,2"			5				6		24		30
5485	DEV	"42,1"	1		5						50		
5486	DEV	"42,2"			10						60		20
5487	DEV	"42,3"			15						60		20
5488	DEV	"42,4"			24				7		102		35
5490	DEV	"42,6"			12				10		146		
5491	DEV	"42,7"			14						55		
5492	DEV	"42,8"			4				8		18		3
5493	DEV	"42,9"									5		
5494	DEV	"42,10"	1		12				3		36		
5496	DEV	"42,12"			6						36		
5497	DEV	"42,13"			14				3		38		25
5498	DEV	"42,14"			8				1		80		
5500	DEV	"42,16"	1		7				5		100		
5501	DEV	"42,17"	1		13						20		
5502	DEV	"42,18"			3				2		86		
5503	DEV	"42,19"									15		5
5504	DEV	"42,20"			5								
5505	DEV	"42,21"			27				3		45		
5506	DEV	"42,22"	1		3						38		
5507	DEV	"42,23"			10				5		75		6
5508	DEV	"42,24"			4				2		34		
5511	DEV	"43,2"			8				2		61		27
5512	DEV	"43,3"			14				11				10
5514	DEV	"43,5"			5														125	wethers
5521	DEV	"45,2"			20						60									
5524	DEV	"46,1"							7		40									
5525	DEV	"46,2"									50		15							
5527	DEV	"47,1"			6															
5529	DEV	"47,3"									27									
5531	DEV	"47,5"			15				6		120		50							
5532	DEV	"47,6"									160		20							
5533	DEV	"47,7"			4						60									
5534	DEV	"47,8"			3						57									
5537	DEV	"47,11"									60									
5538	DEV	"47,12"			7						63									
5539	DEV	"47,13"			15															
5543	DEV	"48,1"									30									
5545	DEV	"48,3"			2						60									
5546	DEV	"48,4"			10						80		14							
5547	DEV	"48,5"					1				124									
5549	DEV	"48,7"			5				3		35		15							
5550	DEV	"48,8"			5						120		15							
5552	DEV	"48,10"			2						60		20							
5553	DEV	"48,11"			10								24							
5556	DEV	"49,1"																	1	animals
5557	DEV	"49,2"			10						40									
5560	DEV	"49,5"			5															
5562	DEV	"49,7"	1		6															
5564	DEV	"50,1"	1		20				8		30									
5568	DEV	"50,5"			3				2		20									
5570	DEV	"51,1"	1		9						72									
5571	DEV	"51,2"			12				6		30									
5572	DEV	"51,3"	1		9				5		50									
5574	DEV	"51,5"							4		80									
5575	DEV	"51,6"	1		11						65									
5576	DEV	"51,7"			2				12		40		30							
5577	DEV	"51,8"	1						7										1	animals
5578	DEV	"51,9"			2				2		40		10							
5579	DEV	"51,10"			3						64									
5580	DEV	"51,11"			7				4		86									
5581	DEV	"51,12"	2		3				7		145									
5582	DEV	"51,13"			8						100									
5583	DEV	"51,14"			7						29									
5584	DEV	"51,15"			12						60									
5585	DEV	"51,16"			8						40									
5587	DEV	"52,1"			15						40									
5590	DEV	"52,4"			20						60									
5591	DEV	"52,5"			10						50									
5592	DEV	"52,6"			12						30									
5596	DEV	"52,10"			4				3		60									
5597	DEV	"52,11"									15									
5598	DEV	"52,12"			4						30									
5599	DEV	"52,13"									20									
5600	DEV	"52,14"			3						30									
5602	DEV	"52,16"			8				4		30									
5603	DEV	"52,17"									9									
5604	DEV	"52,18"									7									
5605	DEV	"52,19"									30									
5606	DEV	"52,20"			4						24		40							
5607	DEV	"52,21"							1											
5608	DEV	"52,22"	1		2						16									
5609	DEV	"52,23"									7									
5610	DEV	"52,24"			4				3		20		5							
5611	DEV	"52,25"									15		11							
5612	DEV	"52,26"			8								10						30	wethers
5613	DEV	"52,27"			3						10									
5614	DEV	"52,28"			6															
5615	DEV	"52,29"			8				4		25									
5617	DEV	"52,31"			7						25									
5618	DEV	"52,32"			10						15		30							
5619	DEV	"52,33"			6						30		12							
5621	DEV	"52,35"									93									
5622	DEV	"52,36"			6						30									
5623	DEV	"52,37"			4						34		10							
5624	DEV	"52,38"							10		40								1	animals
5626	DEV	"52,40"			12												8			
5627	DEV	"52,41"			7				10		30									
5628	DEV	"52,42"									30		12							
5629	DEV	"52,43"			6						2									
5630	DEV	"52,44"			6						16									
5631	DEV	"52,45"			6				2		24		10							
5635	DEV	"52,49"					1													
5636	DEV	"52,50"									14									
5637	DEV	"52,51"			5						10									
5638	DEV	"52,52"									120									
5639	DEV	"52,53"	1		16				9		108		27							
5643	CON	"1,1"			3						138								14	unbroken mares
5644	CON	"1,2"	2		8						200								14	unbroken mares
5645	CON	"1,3"	1		17						200								5	unbroken mares
5646	CON	"1,4"			9						120									
5647	CON	"1,5"			50				20		600									
5648	CON	"1,6"					3				70									
5650	CON	"1,8"			6						200									
5651	CON	"1,9"			7						187									
5652	CON	"1,10"			7						180									
5653	CON	"1,11"	2		6						150									
5654	CON	"1,12"			7						100									
5656	CON	"1,14"	3		13						300						40			
5657	CON	"1,15"			4						45									
5658	CON	"1,16"			13				5		60								45	unbroken mares
5659	CON	"1,17"			5						100									
5663	CON	"2,1"					2				30						5			
5664	CON	"2,2"					3				20									
5665	CON	"2,3"					2				40									
5666	CON	"2,4"			5						50									
5667	CON	"2,5"			4		3		6		150									
5668	CON	"2,6"									90									
5670	CON	"2,8"			3						20									
5671	CON	"2,9"	1				2				40									
5672	CON	"2,10"	1				3				30									
5673	CON	"2,11"									30									
5679	CON	"3,1"			3						80		12							
5680	CON	"3,2"			7						80									
5681	CON	"3,3"			8						100		18							
5682	CON	"3,4"			3				12		108									
5683	CON	"3,5"					3		2		30		6							
5684	CON	"3,6"																	2	oxen
5687	CON	"4,1"			4						60									
5688	CON	"4,2"			5						50									
5691	CON	"4,5"									20									
5692	CON	"4,6"			6						80									
5693	CON	"4,7"			10						250								20	unbroken mares
5694	CON	"4,8"					1				75									
5695	CON	"4,9"			2						30									
5696	CON	"4,10"			7				7		60		12						12	mares
5697	CON	"4,11"			7						80		20							
5698	CON	"4,12"			3						20		10							
5699	CON	"4,13"			6						40									
5700	CON	"4,14"			15						100									
5701	CON	"4,15"			3						20		4							
5702	CON	"4,16"			5						50									
5704	CON	"4,18"									20									
5705	CON	"4,19"									24									
5709	CON	"4,23"			8						30									
5710	CON	"4,24"			20						160									
5711	CON	"4,25"			15				6		110									
5712	CON	"4,26"			8						30									
5713	CON	"4,27"			12						12									
5714	CON	"4,28"									20		10						1	oxen
5717	CON	"5,1,1"			23				7		287		15						33	unbroken mares
5718	CON	"5,1,2"			10						250								8	unbroken mares
5719	CON	"5,1,3"			30						300									
5720	CON	"5,1,4"			10				5		150		12						18	unbroken mares
5721	CON	"5,1,5"			4						50								4	unbroken mares
5722	CON	"5,1,6"			14				4		160									
5723	CON	"5,1,7"			12						200								21	unbroken mares
5724	CON	"5,1,8"			2						150								20	unbroken mares
5725	CON	"5,1,9"			10						100		7							
5726	CON	"5,1,10"			10						180						4			
5727	CON	"5,1,11"	1		9				4		100								17	unbroken mares
5728	CON	"5,1,12"			10						140								15	unbroken mares
5729	CON	"5,1,13"			2						60								15	unbroken mares
5732	CON	"5,1,16"			2															
5738	CON	"5,1,22"			5						50									
5741	CON	"5,2,2"			6				5		40		12							
5742	CON	"5,2,3"									20		10							
5744	CON	"5,2,5"									30		10							
5745	CON	"5,2,6"			3				5		40									
5746	CON	"5,2,7"							3		10		10							
5749	CON	"5,2,10"									20									
5750	CON	"5,2,11"									15		25							
5751	CON	"5,2,12"							3											
5754	CON	"5,2,15"					2				20									
5755	CON	"5,2,16"									40									
5756	CON	"5,2,17"	1		2				2		40		10							
5757	CON	"5,2,18"			2						30		10							
5758	CON	"5,2,19"			2				4		30									
5760	CON	"5,2,21"			5				3		60									
5761	CON	"5,2,22"	1		5				15		60									
5763	CON	"5,2,24"			5						40		10							
5764	CON	"5,2,25"							5		20		4							
5766	CON	"5,2,27"			3				2											
5774	CON	"5,3,1"			17				13										260	20 unbroken mares; 240 wethers
5776	CON	"5,3,3"			3						35		8				1			
5777	CON	"5,3,4"									16									
5778	CON	"5,3,5"			2						60									
5779	CON	"5,3,6"			3						60									
5780	CON	"5,3,7"			3				3		34		5							
5781	CON	"5,3,8"			11				12		200									
5782	CON	"5,3,9"			11				3		80									
5783	CON	"5,3,10"	1						6		40		20							
5784	CON	"5,3,11"			2						40		20							
5785	CON	"5,3,12"			9				8		232									
5786	CON	"5,3,13"							10		100		10							
5787	CON	"5,3,14"			5						20		10							
5789	CON	"5,3,16"			6				4		60									
5790	CON	"5,3,17"			4				2		40		12							
5791	CON	"5,3,18"			2				8		40		15							
5792	CON	"5,3,19"			9				2		80		20							
5793	CON	"5,3,20"			12				5		80								4	unbroken mares
5794	CON	"5,3,21"			5						40									
5795	CON	"5,3,22"			6						40		6						6	unbroken mares
5796	CON	"5,3,23"			4				8		60									
5797	CON	"5,3,24"			5				5		100									
5799	CON	"5,3,26"									13									
5800	CON	"5,3,27"			22				17		140								27	unbroken mares
5801	CON	"5,3,28"			6				1		25								2	unbroken mares
5803	CON	"5,4,1"			2						40									
5807	CON	"5,4,5"							2		15									
5808	CON	"5,4,6"					2													
5809	CON	"5,4,7"									10									
5810	CON	"5,4,8"					1		3											
5813	CON	"5,4,11"									6		5							
5814	CON	"5,4,12"					1		6		12		6							
5815	CON	"5,4,13"	2								17									
5816	CON	"5,4,14"					2		2		20		10							
5817	CON	"5,4,15"					1				30		2							
5818	CON	"5,4,16"					1				30		3							
5820	CON	"5,4,18"	2				1				30								4	unbroken mares
5824	CON	"5,5,1"					1													
5825	CON	"5,5,2"			10				6		60		12							
5826	CON	"5,5,3"			6				4		40									
5827	CON	"5,5,4"			6						20									
5828	CON	"5,5,5"									20									
5829	CON	"5,5,6"			5						10									
5830	CON	"5,5,7"			8				6		30		15							
5831	CON	"5,5,8"									20		4							
5832	CON	"5,5,9"			7						20		10						4	unbroken mares
5833	CON	"5,5,10"			2				2		37									
5835	CON	"5,5,12"			2				6		20									
5838	CON	"5,5,15"									20									
5839	CON	"5,5,16"			10				12		80									
5840	CON	"5,5,17"			5				4		15		10							
5841	CON	"5,5,18"									20		4							
5843	CON	"5,5,20"			6						30									
5847	CON	"5,6,1"			5				6		50									
5848	CON	"5,6,2"			16				2		180		12						6	unbroken mares
5849	CON	"5,6,3"			4				8		73								1	unbroken mare
5850	CON	"5,6,4"			8						100								1	unbroken mare
5851	CON	"5,6,5"			4				4		30								1	unbroken mare
5852	CON	"5,6,6"			6				4		47									
5853	CON	"5,6,7"			10				12		100								3	unbroken mares
5854	CON	"5,6,8"			7				12		50								6	unbroken mares
5855	CON	"5,6,9"			7						30									
5856	CON	"5,6,10"							2		30									
5859	CON	"5,7,2"			3						20									
5860	CON	"5,7,3"			10						30									
5861	CON	"5,7,4"			8				6		6									
5863	CON	"5,7,6"			10						50									
5864	CON	"5,7,7"			10						30									
5865	CON	"5,7,8"			3						30									
5866	CON	"5,7,9"			7						40		6							
5867	CON	"5,7,10"			2						12									
5868	CON	"5,7,11"					2				40		
5869	CON	"5,7,12"			3						20		
5872	CON	"5,8,1"			10				7		40		10
5873	CON	"5,8,2"			8				2		40		8
5874	CON	"5,8,3"			10						40		
5875	CON	"5,8,4"			5						30		
5877	CON	"5,8,6"			4				3		25		
5880	CON	"5,8,9"			8						60		
5881	CON	"5,8,10"									30		
5883	CON	"5,9,1"			3						50		
5884	CON	"5,9,2"					2				15		
5886	CON	"5,9,4"			3						40		
5888	CON	"5,10,1"			3						60		10
5890	CON	"5,11,1"			6				2		70		11
5891	CON	"5,11,2"			10				7		60		40
5892	CON	"5,11,3"									18		8
5893	CON	"5,11,4"			10				12		50		50							
5894	CON	"5,11,5"									30		20							
5895	CON	"5,11,6"			15				8		45		20							
5898	CON	"5,12,1"					1		2		24		12							
5899	CON	"5,12,2"					1		1		12									
5900	CON	"5,12,3"			4				4		25									
5902	CON	"5,13,1"			3				1		5									
5903	CON	"5,13,2"			2						20		7						2	unbroken mares
5905	CON	"5,13,4"					2		2				8							
5906	CON	"5,13,5"					2				24		7						4	unbroken mares
5909	CON	"5,13,8"									30									
5910	CON	"5,13,9"			5				1		30									
5912	CON	"5,13,11"			5				4		60									
5915	CON	"5,14,1"			4				6		30		12							
5916	CON	"5,14,2"			2				2		30									
5918	CON	"5,14,4"			2						30								3	unbroken mares
5922	CON	"5,15,1"			2						37									
5923	CON	"5,15,2"			3						25									
5924	CON	"5,15,3"			2				14		57									
5925	CON	"5,15,4"			2				6		18									
5926	CON	"5,15,5"			3				6		15									
5927	CON	"5,15,6"									23		7							
5929	CON	"5,16,1"									50									
5930	CON	"5,16,2"									40									
5932	CON	"5,17,1"					2				15									
5934	CON	"5,17,3"			3						30		10							
5935	CON	"5,17,4"					2				15									
5939	CON	"5,19,1"									20		5							
5941	CON	"5,20,1"							5		15		15							
5942	CON	"5,20,2"			1						10		10							
5944	CON	"5,21,1"									8								1	oxen
5948	CON	"5,23,1"			3						20								3	unbroken mares
5949	CON	"5,23,2"			4						30		
5950	CON	"5,23,3"			1						15		5
5952	CON	"5,23,5"			3				6		30		
5954	CON	"5,24,1"			2								
5955	CON	"5,24,2"			2								
5956	CON	"5,24,3"			3						5		6
5957	CON	"5,24,4"			2						30		
5961	CON	"5,24,8"					1				15		
5962	CON	"5,24,9"					1				15		
5963	CON	"5,24,10"			2						9		
5965	CON	"5,24,12"			2						40		15
5968	CON	"5,24,15"							5		15		15
5971	CON	"5,24,18"			14						11		
5974	CON	"5,24,21"			3						40		20
5975	CON	"5,24,22"			3								
5976	CON	"5,24,23"			6				6		20		7
5977	CON	"5,24,24"			8				8		40		40							
5978	CON	"5,24,25"			2						40									
5980	CON	"5,25,1"			2				5		15								6	unbroken mares
5981	CON	"5,25,2"			3						40									
5982	CON	"5,25,3"			3				3		50		20							
5984	CON	"5,25,5"					4		2		50									
5986	CON	"5,26,1"									10									
5987	CON	"5,26,2"			5						25									
5988	CON	"5,26,3"			5						30									
5989	CON	"5,26,4"			5						30									
5991	CON	"6,1"			8				12											
5993	CON	"7,1"			3						7									
18179	ESS	"1,1"	1						30		70								1	asses
18180	ESS	"1,2"			24	24			136	136	101	101								
18181	ESS	"1,3"	3		40				195		193									
18182	ESS	"1,4"	2		10				160		269									
18187	ESS	"1,9"	2		7				61		81		87							
18189	ESS	"1,11"	4		56	65			80	118	52		40							
18190	ESS	"1,12"	2		25				61	63	100									
18191	ESS	"1,13"			10	17			40	100	100									
18200	ESS	"1,19"	11		20				59		260									
18202	ESS	"1,21"			24															
18204	ESS	"1,22"																		
18206	ESS	"1,24"	9	9	40	40			172	172	318	318							5	foals
18207	ESS	"1,25"	12		140				103		336									
18208	ESS	"1,26"	5	5	20	16			67	62	166	166								
18209	ESS	"1,27"	4		21				45		190									
18210	ESS	"1,28"	1	1	20	10			129	80	189	80	24	13						
18211	ESS	"1,29"			7						70									
18215	ESS	"2,1"	4		3				7		20									
18216	ESS	"2,2"			6				54		100									
18217	ESS	"2,3"	3		40				77		120									
18218	ESS	"2,4"	3		16				60		200		18						1	mule
18219	ESS	"2,5"			6				16		60									
18220	ESS	"2,6"									24	24								
18221	ESS	"2,7"	2		8				25		124									
18222	ESS	"2,8"	4		8				13		150		16							
18223	ESS	"2,9"			4				10		58									
18227	ESS	"3,2"			6				40		115									
18233	ESS	"3,8"			10				24		45									
18234	ESS	"3,9"			11				20		696									
18235	ESS	"3,10"			6				12		37									
18237	ESS	"3,12"			2				27		100									
18238	ESS	"3,13"			6				10		50		20							
18239	ESS	"3,14"			6				30		166									
18240	ESS	"3,15"	1		7				30		41									
18243	ESS	"4,1"			20						144								4	foals
18244	ESS	"4,2"			4				4		60									
18247	ESS	"4,5"	4	3	3				16	6	66	36								
18248	ESS	"4,6"	2		5	4			16	12	128	80							2	foals
18250	ESS	"4,8"			4				24	5	88	50	44						2	foals
18251	ESS	"4,9"	0	2	6	3		4	10	8	500	400	21							
18253	ESS	"4,11"	2		10						81									
18254	ESS	"4,12"							8		50		12							
18256	ESS	"4,14"	1		4				13		130									
18257	ESS	"4,15"			16				14		100		20							
18259	ESS	"4,17"	3								140									
18262	ESS	"5,1"			1				1		7									
18263	ESS	"5,2"	2		9				27		100									
18264	ESS	"5,3"	2		9				40		100		5							
18265	ESS	"5,4"	2		4				23		50		24		2					
18266	ESS	"5,5"			15				30		340									
18267	ESS	"5,6"	1		5															
18268	ESS	"5,7"	2	2	13	13			24	24	116	116	24	24	4	4				
18270	ESS	"5,9"	2		1				8		100				
18271	ESS	"5,10"	1		8				12		150				3
18272	ESS	"5,11"			22				30		200				4
18273	ESS	"5,12"	2		2				4		160				
18275	ESS	"6,1"							3		50				
18276	ESS	"6,2"	2								30				
18278	ESS	"6,4"	2								30				
18279	ESS	"6,5"	2		6				35		35				
18282	ESS	"6,8"	5		16				60		84				
18285	ESS	"6,11"	1		6				30		110				
18286	ESS	"6,12"	1				1		4		60				
18288	ESS	"6,14"	1				2		36		100				
18289	ESS	"6,15"	1		4						100				
18291	ESS	"7,1"	2		20				40		80		12		
18293	ESS	"8,1"	1		10				20		20		8		
18294	ESS	"8,2"	1		4				10		15				
18295	ESS	"8,3"			6	1			50		100		40			
18296	ESS	"8,4"			5						5					
18297	ESS	"8,5"			9				10		20					
18298	ESS	"8,6"	1		6	3			30	20	50		36	16		
18299	ESS	"8,7"			2				10		8		15			
18300	ESS	"8,8"			2				8		9					
18301	ESS	"8,9"			4				25	10	65	25				
18302	ESS	"8,10"			2				30	11	50	20				
18303	ESS	"8,11"	1		5	5			5	5	40	40			2	2
18306	ESS	"9,1"	2		10				18		250					
18307	ESS	"9,2"	1		8				15		80					
18312	ESS	"9,7"	2		34				150		114		24		10	
18313	ESS	"9,8"	2		12	12			14		230					
18314	ESS	"9,9"			8				11		150				1	
18316	ESS	"9,11"	1		9				20		16					
18317	ESS	"9,12"			4						37		10			
18318	ESS	"9,13"	2		8				26		151									
18319	ESS	"9,14"	2		10				28		300									
18321	ESS	"10,1"	2	2	16	16					70	70			2	2				
18322	ESS	"10,2"	2		9				23		15									
18323	ESS	"10,3"			9				41		164									
18324	ESS	"10,4"	1		4				16		36		8							
18325	ESS	"10,5"	2		7				54		180				5					
18327	ESS	"11,1"	2		6				12				5							
18328	ESS	"11,2"	4		25				50		60				5				3	foals
18329	ESS	"11,3"			4				50		30		25							
18332	ESS	"11,6"	1		20				43		48								3	foals
18333	ESS	"11,7"			1				2		50		10							
18334	ESS	"11,8"							30		200				5				2	foals
18338	ESS	"13,1"	3	2	19	4			92	60	100				4					
18339	ESS	"13,2"			8				10		25	33			3					
18342	ESS	"14,2"			4				40		28				5					
18343	ESS	"14,3"	3		4				30		28		50		5					
18344	ESS	"14,4"	2		6				28				36							
18345	ESS	"14,5"			5				24		50									
18346	ESS	"14,6"			3				20		216									
18349	ESS	"15,1"	1		21				200		58		30							
18350	ESS	"15,2"	1		14				96		38		13						1	foals
18352	ESS	"16,1"	2		12				37		165									
18354	ESS	"17,1"	11		16				34		300								2	foals
18357	ESS	"18,1"	2		4				4		270	67								
18358	ESS	"18,2"	2		11				106		219									
18359	ESS	"18,3"	2		2				15		34									
18360	ESS	"18,4"	1	2	9	5			24	18	80	36								
18361	ESS	"18,5"	3		8				58	30	76	40	14	32						
18370	ESS	"18,14"	1		2	4			25	15	58	100								
18374	ESS	"18,18"			4	4														
18379	ESS	"18,22"	1						13											
18381	ESS	"18,24"	1		6																	
18382	ESS	"18,25"			1				5		47											
18385	ESS	"18,28"		1	2	1			9	25	48	50										
18393	ESS	"18,36"	3		16				32		810	117										
18394	ESS	"18,37"	5	3	18	4			61	16	126	60							10	foals		
18395	ESS	"18,38"	1	3	9	5			40	19	110	45										
18396	ESS	"18,39"	1		4	5			17	11	50	15	1									
18397	ESS	"18,40"	4	3	4	2					23	11										
18398	ESS	"18,41"	2	3	28	9					140	47							4	foals	1	foal
18406	ESS	"20,1"							31		717											
18407	ESS	"20,2"					2		10		110											
18408	ESS	"20,3"			2				20				15									
18411	ESS	"20,6"					5		14		100		7						3	horses		
18412	ESS	"20,7"	1						15				4		4							
18413	ESS	"20,8"	1		6				40				8		2							
18414	ESS	"20,9"							10		27											
18420	ESS	"20,15"	1		12				50		100				4
18424	ESS	"20,19"	3		2				13		300				
18425	ESS	"20,20"	2		4				30		100				
18426	ESS	"20,21"	2	1	5	3					146	38			6
18427	ESS	"20,22"	2		3				11		90				
18428	ESS	"20,23"	2		22				44		102		30		
18430	ESS	"20,25"	3		8				40		239				
18431	ESS	"20,26"	2		9				20		100				
18432	ESS	"20,27"	1		3										
18433	ESS	"20,28"	1				4		0	14	50	50			
18435	ESS	"20,30"			3										
18439	ESS	"20,34"					2		14		100				
18441	ESS	"20,36"	3		7				68		80		34		
18442	ESS	"20,37"	2		13				35		140		25		
18444	ESS	"20,39"	3	1	10	20			34	35	120	140	20	40	
18445	ESS	"20,40"	1	1		16			10	15		30			
18448	ESS	"20,43"	4		40				11		233			
18449	ESS	"20,44"			6						213			
18450	ESS	"20,45"	3		2				11		80			
18451	ESS	"20,46"	2		10				36		112			
18453	ESS	"20,48"			9						80			
18457	ESS	"20,52"	1		15				50		135			
18458	ESS	"20,53"			13				20		36			
18460	ESS	"20,55"	1		8						100			
18461	ESS	"20,56"	1		15						132			
18462	ESS	"20,57"	2		16				40		400			
18464	ESS	"20,59"									50			
18465	ESS	"20,60"			1									
18468	ESS	"20,63"					1				11			
18469	ESS	"20,64"	4	2	7	4			20	20	100	40	20	14
18471	ESS	"20,66"			2				7		20			
18472	ESS	"20,67"	0	2	0	8			0	6	0	13		
18473	ESS	"20,68"							13		14											
18474	ESS	"20,69"	1		4				8		80											
18476	ESS	"20,71"	1						40		150		24		4							
18477	ESS	"20,72"							24		250											
18479	ESS	"20,74"							20		288											
18482	ESS	"20,77"							28		112											
18483	ESS	"20,78"	1						14		56											
18484	ESS	"20,79"	1		5				25				30		2							
18485	ESS	"20,80"	3		2				14		54		13									
18502	ESS	"22,3"			6	5			50	40	90	40			3						1	calf
18504	ESS	"22,5"	1	1	23	7			20	60	70	60			4							
18505	ESS	"22,6"	1	1	15	8			50	100	70	200	9									
18506	ESS	"22,7"	3	3	8	8			7		120	120										
18507	ESS	"22,8"			4				40		83				1							
18508	ESS	"22,9"			9				30	10	80	30	12		8							
18509	ESS	"22,10"	1	1					9	9	40											
18510	ESS	"22,11"	2		14	6			20	12	36	40			2			
18511	ESS	"22,12"	1	1	16				100	30	100	40			4			
18512	ESS	"22,13"			12	8			30	20	60	20			2			
18513	ESS	"22,14"			2	2			15	15	50	20						
18514	ESS	"22,15"	2	2	30	12			15	40	100	60						
18518	ESS	"22,19"							0	17	50	50						
18519	ESS	"22,20"		0	2	0		0	32	0	52	0	3	0		0		0
18526	ESS	"23,2"	4	4	36	36			128	128	320	200			16	10		
18529	ESS	"23,5"	0	1	8	10			26	20	127	100						
18535	ESS	"23,11"									30							
18539	ESS	"23,15"			8	5			4		83	20	32					
18556	ESS	"23,32"									11							
18562	ESS	"23,38"	0	6	22	22			80	46	200	54	80	62	0	3		
18563	ESS	"23,39"	5	4	41	28			107	60	200	100						
18564	ESS	"23,40"	2		9	19			30	50	88	100			1	3		
18569	ESS	"24,1"		1	4	8			12	20	50	60						
18570	ESS	"24,2"				5			10	10	42	60								
18571	ESS	"24,3"	1	1	31				9		260	60							12	foals
18572	ESS	"24,4"			10	1														
18573	ESS	"24,5"	1	1	2															
18574	ESS	"24,6"			13	10			5											
18575	ESS	"24,7"	1	2			1		1	7	95	15								
18576	ESS	"24,8"		1	5				16		39	17								
18577	ESS	"24,9"	3	2	8	16			11	3	60	100								
18578	ESS	"24,10"		1			1				20	12		17	3	2			2	foals
18583	ESS	"24,15"	1	3	7	5				20	70	100							1	foals
18584	ESS	"24,16"	4	2	14	7			36	16	200	200			2	2				
18585	ESS	"24,17"	5	4	20	13			11	25	80	105	11						2	foals
18586	ESS	"24,18"	2	1	9	2			9		20	15								
18587	ESS	"24,19"	1		13	5			22	10	100	100		7	4					
18588	ESS	"24,20"	2	2	33	6			40	30	136	300							2	foals
18589	ESS	"24,21"	4	4	2	9			27	38	110	115								
18590	ESS	"24,22"	1	2	13	8			65	30	196	100	66		9				3	foals		
18591	ESS	"24,23"	2	2		4			16	12	64	100										
18592	ESS	"24,24"	3	4	5	10			20	24	342	336										
18593	ESS	"24,25"		1	6	7			34	19	160	68			2							
18594	ESS	"24,26"	3	1	10				21	8	183	11							2	foals		
18596	ESS	"24,28"	1	1	6	2			1		115	40										
18597	ESS	"24,29"	1		2	2					115	100			1							
18598	ESS	"24,30"		2	7					40	160	200										
18599	ESS	"24,31"	2	1	3	7			20	30	100	100	23									
18600	ESS	"24,32"	1	1	1	1			3	3	80	80							1	foals	1	foal
18601	ESS	"24,33"	4	2	10	2			24	12	300	160	53	30	6							
18602	ESS	"24,34"		1					11	8	86	25										
18603	ESS	"24,35"		2	10	10			10	11	63	63										
18604	ESS	"24,36"		1					11	8	86	25										
18605	ESS	"24,37"	1	1		2	1			10	114	75										
18611	ESS	"24,42"	2		5	5			26		60	40										
18612	ESS	"24,43"		0	3	0		0	4	0		0	11	0		0		0		
18613	ESS	"24,44"	2	2	2	2			6		100	15	8		2					
18614	ESS	"24,45"	2	1	8			2	30		11				10					
18615	ESS	"24,46"		2	7	6			13	24	50	30	32	30	7				2	foals
18617	ESS	"24,48"			5	4			8	9	13	11	7	5						
18618	ESS	"24,49"	3	1	12	9			10	25	100	107			1					
18622	ESS	"24,53"	2	3	14	25			21	50	90	40	23	15	5	12			1	foals
18623	ESS	"24,54"	3		13				21	14	122	25	8		1					
18628	ESS	"24,59"			8			1	17		118	13			2					
18629	ESS	"24,60"	3	1	13	12			39	60	148	100							3	foals
18630	ESS	"24,61"		3		7				17										
18631	ESS	"24,62"			2		1		16		30									
18633	ESS	"24,64"	5	3	10	18			32	30	190	150	80	40	2	5				
18634	ESS	"24,65"		0	6	0		0	10	0	20	0		0	2	0		0		
18635	ESS	"24,66"	2	1	12	2			12		80	20								
18638	ESS	"25,1"	1	2	6	14			46	40	110	80			4					
18639	ESS	"25,2"	4		18	1			19		75	30			2	
18640	ESS	"25,3"	7	1	25	10			89	6	225	50	55		8	
18641	ESS	"25,4"	1	1		5				60						
18642	ESS	"25,5"	4	4	15	8			65	40	354	250			4	
18643	ESS	"25,6"	0	1							63	87				
18644	ESS	"25,7"	1	1	27	6			15		160	120				
18645	ESS	"25,8"	3	1	3						159	120				
18647	ESS	"25,10"			2	2			9	9	80	80				
18648	ESS	"25,11"		2	16	5			20	20	106	102			2	
18649	ESS	"25,12"		1	5	3			33	16						
18652	ESS	"25,15"	2	1	20	14			43	30	103	80	40	30		
18653	ESS	"25,16"	0	2		2			66		200	300			6	
18654	ESS	"25,17"			4	6			13	10	64	30	13		1	
