place_id	struct_idx	sub_idx	county	phillimore	area	hundred	std_hundred	vill	std_vill	grid	m_type	holding	units	waste_86	places_idx	phillimore_with_new_yks	county_name	country
139640	12549	1	CHS	"4,1"		Willaston	Willaston	[Little] Neston	Little Neston	SJ3077	[M]	1	geld	N	44871	"4,1"		UK
139650	12550	1	CHS	"4,2"		Willaston	Willaston	Hargrave	Hargrave	SJ3279	[M]	1	geld	N	29561	"4,2"		UK
139670	12552	1	CHS	"5,1"		Rushton	Rushton	Ashton	Ashton	SJ5069	[M]	4	geld	N	2741	"5,1"		UK
139680	12553	1	CHS	"5,2"		Willaston	Willaston	Picton	Picton	SJ4371	[M]	1	geld	N	49106	"5,2"		UK
139690	12554	1	CHS	"5,3"		Willaston	Willaston	Hooton	Hooton	SJ3679	[M]	1.66	geld	N	32986	"5,3"		UK
139700	12555	1	CHS	"5,4"		(Tunendune}	Tunendune	Cogshall	Cogshall	SJ6377	[M]	0.5	geld	N	16621	"5,4"		UK
139710	12556	1	CHS	"5,5"		Middlewich	Middlewich	Shipbrook	Shipbrook	SJ6771	[M]	2	geld	N	55556	"5,5"		UK
139720	12557	1	CHS	"5,6"		Middlewich	Middlewich	[Higher and Lower] Shurlach	Higher and Lower Shurlach	SJ6773	[M]	1	geld	N	55961	"5,6"		UK
139730	12558	1	CHS	"5,7"		Middlewich	Middlewich	Leftwich	Leftwich	SJ6572	[M]	1	geld	N	38531	"5,7"		UK
139740	12559	1	CHS	"5,8"		Middlewich	Middlewich	Moulton	Moulton	SJ6569	[M]	1	geld	N	44236	"5,8"		UK
139750	12560	1	CHS	"5,9"		Middlewich	Middlewich	Wharton	Wharton	SJ6666	[M]	0.5	geld	N	69301	"5,9"		UK
139760	12561	1	CHS	"5,10"		Middlewich	Middlewich	Davenham	Davenham	SJ6570	[M]	0.5	geld	N	19691	"5,10"		UK
139770	12562	1	CHS	"5,11"		Middlewich	Middlewich	Bostock	Bostock	SJ6769	[M]	1	geld	N	8311	"5,11"		UK
139780	12563	1	CHS	"5,12"		{Warmundestrou}	Warmundestrou	Audlem	Audlem	SJ6543	[M]	2	geld	N	3351	"5,12"		UK
139790	12564	1	CHS	"5,13"		{Warmundestrou}	Warmundestrou	Crewe	Crewe	SJ7055	[M]	1	geld	N	18606	"5,13"		UK
139800	12565	1	CHS	"5,14"		{Hamestan}	Hamestan	Bredbury	Bredbury	SJ9292	[M]	1	geld	N	9631	"5,14"		UK
139820	12567	1	CHS	"6,1"		`Duddeston'	Duddeston	Poulton	Poulton	SJ4059	[M]	1	geld	N	49966	"6,1"		UK
139830	12568	1	CHS	"6,2"		`Duddeston'	Duddeston	{Calvintone}	Calvintone	??	[M]	2	geld	N	12781	"6,2"		UK
139850	12570	1	CHS	"7,1"		Rushton	Rushton	Willington	Willington	SJ5367	[M]	1	geld	N	70636	"7,1"		UK
139860	12571	1	CHS	"7,2"		Willaston	Willaston	Ness	Ness	SJ3075	[M]	1.5	geld	N	44846	"7,2"		UK
139870	12572	1	CHS	"7,3"		Willaston	Willaston	Ledsham	Ledsham	SJ3574	[M]	1	geld	N	38431	"7,3"		UK
139880	12573	1	CHS	"7,4"		Willaston	Willaston	Prenton	Prenton	SJ3086	[M]	1.5	geld	N	50091	"7,4"		UK
139900	12575	1	CHS	"8,1"		`Duddeston'	Duddeston	Tattenhall	Tattenhall	SJ4858	[M]	5	geld	N	61691	"8,1"		UK
139910	12576	1	CHS	"8,2"		`Duddeston'	Duddeston	Golborne	Golborne	SJ4660	[M]	0.5	geld	N	27091	"8,2"		UK
139920	12577	1	CHS	"8,3"		Rushton	Rushton	{Ulure}	Ulure	??	[M]	2	geld	N	66086	"8,3"		UK
139930	12578	1	CHS	"8,4"		Willaston	Willaston	Wervin	Wervin	SJ4171	[M]	0.33	geld	N	68566	"8,4"		UK
139940	12579	1	CHS	"8,5"		Willaston	Willaston	[Nether and Over] Pool	Nether and Over Pool	SJ7474	[M]	0.5	carucates	N	49736	"8,5"		UK
139950	12580	1	CHS	"8,6"		Willaston	Willaston	[Great and Little] Saughall	Great and Little Saughall	SJ3670	[M]	6	geld	N	53951	"8,6"		UK
139960	12581	1	CHS	"8,7"		Willaston	Willaston	Landican	Landican	SJ2885	[M]	7	geld	N	37406	"8,7"		UK
139970	12582	1	CHS	"8,8"		Willaston	Willaston	Upton	Upton	SJ2687	[M]	3	geld	N	66326	"8,8"		UK
139980	12583	1	CHS	"8,9"		Willaston	Willaston	Thingwall	Thingwall	SJ2784	[M]	1	geld	N	62191	"8,9"		UK
139990	12584	1	CHS	"8,10"		Willaston	Willaston	Noctorum	Noctorum	SJ2987	[M]	0.5	geld	N	45786	"8,10"		UK
140000	12585	1	CHS	"8,11"		Middlewich	Middlewich	Hassall	Hassall	SJ7657	[M]	0.5	geld	N	30046	"8,11"		UK
140010	12586	1	CHS	"8,12"		Middlewich	Middlewich	Hassall	Hassall	SJ7657	[M]	0.5	geld	N	30046	"8,12"		UK
140020	12587	1	CHS	"8,13"		Middlewich	Middlewich	Minshull [Vernon]	Minshull Vernon	SJ6760	[M]	1	geld	N	43376	"8,13"		UK
